entry,target,stop,outcome,days,ret_pct,mae,symbol,sector,pattern,config,date,pole_gain
19800.0,22770.0,18810.0,LOSS,1,-5.0,6.82,EIB,,Flag Pullback,trend_filter,2025-04-02,14.58
18300.0,21045.0,17385.0,WIN,27,15.0,3.01,EIB,,Flag Pullback,vol_filter,2025-01-13,9.44
18250.0,20987.5,17337.5,WIN,26,15.0,2.74,EIB,,Flag Pullback,vol_filter,2025-01-14,6.3
18250.0,20987.5,17337.5,WIN,25,15.0,2.74,EIB,,Flag Pullback,vol_filter,2025-01-15,6.83
18300.0,21045.0,17385.0,WIN,24,15.0,3.01,EIB,,Flag Pullback,vol_filter,2025-01-16,4.55
26300.0,30245.0,24985.0,LOSS,13,-5.0,8.75,EIB,,Flag Pullback,vol_filter,2025-10-01,8.24
25650.0,29497.5,24367.5,LOSS,12,-5.0,6.43,EIB,,Flag Pullback,vol_filter,2025-10-02,7.97
21250.0,24437.5,20187.5,OPEN,40,4.24,0.0,EIB,,Pennant Pullback,baseline,2026-03-23,8.33
22150.0,25472.5,21042.5,OPEN,40,0.0,1.58,EIB,,Pennant Pullback,baseline,2026-03-24,15.24
22550.0,25932.5,21422.5,OPEN,40,-1.77,3.33,EIB,,Pennant Pullback,baseline,2026-03-25,13.19
21250.0,24437.5,20187.5,OPEN,40,4.24,0.0,EIB,,Pennant Pullback,vol_filter,2026-03-23,8.33
22150.0,25472.5,21042.5,OPEN,40,0.0,1.58,EIB,,Pennant Pullback,vol_filter,2026-03-24,15.24
22550.0,25932.5,21422.5,OPEN,40,-1.77,3.33,EIB,,Pennant Pullback,vol_filter,2026-03-25,13.19
17150.0,19722.5,16292.5,WIN,10,15.0,1.17,EIB,,Triangle Pullback,baseline,2024-09-19,4.46
17450.0,20067.5,16577.5,WIN,18,15.0,0.0,EIB,,Triangle Pullback,baseline,2024-09-25,4.66
23500.0,27025.0,22325.0,WIN,22,15.0,4.68,EIB,,Triangle Pullback,baseline,2025-06-20,5.71
23000.0,26450.0,21850.0,LOSS,5,-5.0,5.22,EIB,,Triangle Pullback,baseline,2026-03-30,8.33
23600.0,27140.0,22420.0,LOSS,3,-5.0,6.14,EIB,,Triangle Pullback,baseline,2026-03-31,15.24
23500.0,27025.0,22325.0,WIN,22,15.0,4.68,EIB,,Triangle Pullback,trend_filter,2025-06-20,5.71
23000.0,26450.0,21850.0,LOSS,5,-5.0,5.22,EIB,,Triangle Pullback,vol_filter,2026-03-30,8.33
23600.0,27140.0,22420.0,LOSS,3,-5.0,6.14,EIB,,Triangle Pullback,vol_filter,2026-03-31,15.24
13492.06,15515.87,12817.46,LOSS,7,-5.0,7.06,VIX,,Flag Pullback,baseline,2024-07-10,4.67
10809.52,12430.95,10269.05,LOSS,32,-5.0,5.29,VIX,,Flag Pullback,baseline,2024-09-18,3.6
10857.14,12485.71,10314.29,LOSS,29,-5.0,5.26,VIX,,Flag Pullback,baseline,2024-09-19,10.45
10714.29,12321.43,10178.57,LOSS,31,-5.0,6.67,VIX,,Flag Pullback,baseline,2024-09-20,8.89
10809.52,12430.95,10269.05,LOSS,29,-5.0,5.29,VIX,,Flag Pullback,baseline,2024-09-23,8.97
10857.14,12485.71,10314.29,LOSS,26,-5.0,5.26,VIX,,Flag Pullback,baseline,2024-09-24,5.65
11428.57,13142.86,10857.14,LOSS,13,-5.0,5.0,VIX,,Flag Pullback,baseline,2024-09-25,11.98
10428.57,11992.86,9907.14,LOSS,11,-5.0,5.48,VIX,,Flag Pullback,baseline,2024-10-28,3.0
10476.19,12047.62,9952.38,LOSS,9,-5.0,5.0,VIX,,Flag Pullback,baseline,2024-10-29,8.81
10333.33,11883.33,9816.67,LOSS,10,-5.0,7.83,VIX,,Flag Pullback,baseline,2024-10-30,7.96
10428.57,11992.86,9907.14,LOSS,8,-5.0,5.48,VIX,,Flag Pullback,baseline,2024-10-31,5.33
10238.1,11773.81,9726.19,LOSS,8,-5.0,6.98,VIX,,Flag Pullback,baseline,2024-11-01,4.42
10238.1,11773.81,9726.19,LOSS,7,-5.0,6.98,VIX,,Flag Pullback,baseline,2024-11-04,7.24
10095.24,11609.52,9590.48,LOSS,6,-5.0,5.66,VIX,,Flag Pullback,baseline,2024-11-05,6.19
10285.71,11828.57,9771.43,LOSS,5,-5.0,7.41,VIX,,Flag Pullback,baseline,2024-11-06,6.17
10238.1,11773.81,9726.19,LOSS,4,-5.0,6.98,VIX,,Flag Pullback,baseline,2024-11-07,3.95
10142.86,11664.29,9635.71,LOSS,3,-5.0,6.1,VIX,,Flag Pullback,baseline,2024-11-08,5.78
21200.0,24380.0,20140.0,LOSS,13,-5.0,16.98,VIX,,Flag Pullback,baseline,2026-02-10,9.42
22200.0,25530.0,21090.0,LOSS,10,-5.0,7.66,VIX,,Flag Pullback,baseline,2026-02-11,5.11
21900.0,25185.0,20805.0,LOSS,9,-5.0,6.39,VIX,,Flag Pullback,baseline,2026-02-12,5.02
22550.0,25932.5,21422.5,LOSS,6,-5.0,5.54,VIX,,Flag Pullback,baseline,2026-02-13,4.66
22750.0,26162.5,21612.5,LOSS,5,-5.0,6.37,VIX,,Flag Pullback,baseline,2026-02-23,13.04
37000.0,42550.0,35150.0,LOSS,2,-5.0,5.14,VIX,,Pennant Pullback,baseline,2025-10-01,28.03
36200.0,41630.0,34390.0,LOSS,13,-5.0,7.73,VIX,,Pennant Pullback,baseline,2025-10-02,25.0
35500.0,40825.0,33725.0,LOSS,12,-5.0,5.92,VIX,,Pennant Pullback,baseline,2025-10-03,18.62
37950.0,43642.5,36052.5,LOSS,10,-5.0,5.8,VIX,,Pennant Pullback,baseline,2025-10-06,3.24
37000.0,42550.0,35150.0,LOSS,2,-5.0,5.14,VIX,,Pennant Pullback,trend_filter,2025-10-01,28.03
36200.0,41630.0,34390.0,LOSS,13,-5.0,7.73,VIX,,Pennant Pullback,trend_filter,2025-10-02,25.0
35500.0,40825.0,33725.0,LOSS,12,-5.0,5.92,VIX,,Pennant Pullback,trend_filter,2025-10-03,18.62
37950.0,43642.5,36052.5,LOSS,10,-5.0,5.8,VIX,,Pennant Pullback,trend_filter,2025-10-06,3.24
23007.64,26458.79,21857.26,WIN,30,15.0,4.18,VCI,,Flag Pullback,baseline,2025-01-06,7.74
27511.46,31638.17,26135.88,LOSS,6,-5.0,5.1,VCI,,Pennant Pullback,baseline,2024-06-11,5.65
27619.35,31762.25,26238.38,LOSS,3,-5.0,5.27,VCI,,Pennant Pullback,baseline,2024-06-12,7.89
27349.62,31452.07,25982.14,LOSS,7,-5.0,10.26,VCI,,Pennant Pullback,baseline,2024-06-13,3.17
24574.72,28260.93,23345.99,LOSS,38,-5.0,7.1,VCI,,Pennant Pullback,baseline,2024-09-24,11.17
25358.27,29162.01,24090.35,LOSS,27,-5.0,5.06,VCI,,Pennant Pullback,baseline,2024-09-25,20.74
24574.72,28260.93,23345.99,LOSS,38,-5.0,7.1,VCI,,Triangle Pullback,baseline,2024-09-24,5.41
25358.27,29162.01,24090.35,LOSS,27,-5.0,5.06,VCI,,Triangle Pullback,baseline,2024-09-25,3.93
25750.04,29612.54,24462.54,LOSS,21,-5.0,5.67,VCI,,Triangle Pullback,baseline,2024-09-26,6.14
25571.96,29407.75,24293.36,LOSS,20,-5.0,5.01,VCI,,Triangle Pullback,baseline,2024-09-27,7.51
26141.81,30063.08,24834.72,LOSS,18,-5.0,5.99,VCI,,Triangle Pullback,baseline,2024-09-30,14.24
24646.64,28343.63,23414.31,WIN,10,15.0,2.32,HCM,,Flag Pullback,baseline,2024-08-12,4.23
24741.8,28453.07,23504.71,WIN,9,15.0,2.5,HCM,,Flag Pullback,baseline,2024-08-13,3.06
25883.73,29766.29,24589.54,WIN,25,15.0,0.92,HCM,,Flag Pullback,baseline,2024-08-16,3.63
25836.15,29711.57,24544.34,WIN,24,15.0,0.74,HCM,,Flag Pullback,baseline,2024-08-19,4.03
26882.92,30915.35,25538.77,WIN,29,15.0,0.35,HCM,,Flag Pullback,baseline,2025-01-16,5.68
27120.82,31188.94,25764.78,WIN,28,15.0,0.35,HCM,,Flag Pullback,baseline,2025-01-17,4.8
27025.66,31079.5,25674.37,WIN,27,15.0,0.0,HCM,,Flag Pullback,baseline,2025-01-20,4.09
27311.14,31407.81,25945.58,WIN,27,15.0,0.17,HCM,,Flag Pullback,baseline,2025-01-21,4.1
27358.72,31462.52,25990.78,WIN,26,15.0,0.17,HCM,,Flag Pullback,baseline,2025-01-22,4.9
26433.86,30398.94,25112.17,LOSS,2,-5.0,5.49,HCM,,Flag Pullback,baseline,2025-04-14,6.35
25756.07,29619.48,24468.26,LOSS,2,-5.0,5.08,HCM,,Flag Pullback,baseline,2025-04-15,5.56
27311.14,31407.81,25945.58,WIN,27,15.0,0.17,HCM,,Flag Pullback,trend_filter,2025-01-21,4.1
27358.72,31462.52,25990.78,WIN,26,15.0,0.17,HCM,,Flag Pullback,trend_filter,2025-01-22,4.9
25322.61,29121.01,24056.48,LOSS,16,-5.0,19.81,HCM,,Pennant Pullback,baseline,2025-06-02,6.96
27596.62,31736.11,26216.79,LOSS,7,-5.0,7.59,HCM,,Triangle Pullback,baseline,2024-11-04,5.12
28024.84,32228.57,26623.6,LOSS,5,-5.0,5.77,HCM,,Triangle Pullback,baseline,2024-11-06,6.17
27882.1,32064.42,26488.0,LOSS,4,-5.0,5.29,HCM,,Triangle Pullback,baseline,2024-11-07,7.45
27691.78,31845.55,26307.19,LOSS,4,-5.0,7.9,HCM,,Triangle Pullback,baseline,2024-11-08,5.69
27215.98,31298.37,25855.18,LOSS,3,-5.0,6.29,HCM,,Triangle Pullback,baseline,2024-11-11,5.2
27120.82,31188.94,25764.78,LOSS,2,-5.0,5.96,HCM,,Triangle Pullback,baseline,2024-11-12,4.28
26645.01,30641.77,25312.76,LOSS,2,-5.0,6.79,HCM,,Triangle Pullback,baseline,2024-11-13,10.28
25788.56,29656.85,24499.14,OPEN,40,0.37,3.69,HCM,,Triangle Pullback,baseline,2024-11-14,5.52
30839.5,35465.43,29297.53,LOSS,7,-5.0,10.05,HCM,,Triangle Pullback,baseline,2025-03-25,5.12
30210.12,34741.64,28699.62,LOSS,6,-5.0,8.17,HCM,,Triangle Pullback,baseline,2025-03-26,6.18
29629.16,34073.53,28147.7,LOSS,5,-5.0,6.37,HCM,,Triangle Pullback,baseline,2025-03-27,4.18
23900.0,27485.0,22705.0,LOSS,10,-5.0,9.0,HCM,,Triangle Pullback,baseline,2026-02-23,5.0
24100.0,27715.0,22895.0,LOSS,9,-5.0,9.75,HCM,,Triangle Pullback,baseline,2026-02-24,10.39
30839.5,35465.43,29297.53,LOSS,7,-5.0,10.05,HCM,,Triangle Pullback,trend_filter,2025-03-25,5.12
30210.12,34741.64,28699.62,LOSS,6,-5.0,8.17,HCM,,Triangle Pullback,trend_filter,2025-03-26,6.18
29629.16,34073.53,28147.7,LOSS,5,-5.0,6.37,HCM,,Triangle Pullback,trend_filter,2025-03-27,4.18
27120.82,31188.94,25764.78,LOSS,2,-5.0,5.96,HCM,,Triangle Pullback,vol_filter,2024-11-12,4.28
26645.01,30641.77,25312.76,LOSS,2,-5.0,6.79,HCM,,Triangle Pullback,vol_filter,2024-11-13,10.28
38812.75,44634.66,36872.11,LOSS,11,-5.0,7.62,FTS,,Flag Pullback,baseline,2024-07-02,9.65
38364.56,44119.24,36446.33,LOSS,10,-5.0,6.54,FTS,,Flag Pullback,baseline,2024-07-03,4.43
37557.83,43191.51,35679.94,LOSS,20,-5.0,6.56,FTS,,Flag Pullback,baseline,2024-10-23,3.39
36392.55,41851.43,34572.92,OPEN,40,5.79,3.57,FTS,,Flag Pullback,baseline,2024-10-24,4.38
36616.64,42109.14,34785.81,OPEN,40,4.28,4.16,FTS,,Flag Pullback,baseline,2024-10-25,5.08
37378.55,42985.34,35509.63,LOSS,17,-5.0,6.12,FTS,,Flag Pullback,baseline,2024-10-28,6.24
37288.92,42882.26,35424.48,LOSS,16,-5.0,5.89,FTS,,Flag Pullback,baseline,2024-10-29,9.26
38543.84,44325.41,36616.64,LOSS,2,-5.0,9.3,FTS,,Flag Pullback,baseline,2025-04-14,18.72
36795.92,42315.31,34956.12,LOSS,2,-5.0,11.08,FTS,,Flag Pullback,baseline,2025-04-15,12.44
34958.36,40202.12,33210.45,LOSS,1,-5.0,6.41,FTS,,Flag Pullback,baseline,2025-04-16,9.6
35272.09,40562.9,33508.49,LOSS,3,-5.0,11.05,FTS,,Flag Pullback,baseline,2025-04-17,7.01
31821.07,36594.23,30230.02,WIN,14,15.0,0.0,FTS,,Flag Pullback,baseline,2025-04-22,3.83
37378.55,42985.34,35509.63,LOSS,17,-5.0,6.12,FTS,,Flag Pullback,vol_filter,2024-10-28,6.24
37288.92,42882.26,35424.48,LOSS,16,-5.0,5.89,FTS,,Flag Pullback,vol_filter,2024-10-29,9.26
36930.37,42469.93,35083.85,WIN,33,15.0,4.61,FTS,,Pennant Pullback,baseline,2025-01-03,5.54
36450.0,41917.5,34627.5,WIN,15,15.0,0.0,FTS,,Pennant Pullback,baseline,2025-06-23,5.4
36450.0,41917.5,34627.5,WIN,15,15.0,0.0,FTS,,Triangle Pullback,baseline,2025-06-23,8.48
37550.0,43182.5,35672.5,WIN,15,15.0,1.73,FTS,,Triangle Pullback,baseline,2025-06-24,6.57
37600.0,43240.0,35720.0,WIN,14,15.0,1.86,FTS,,Triangle Pullback,baseline,2025-06-25,6.54
37700.0,43355.0,35815.0,WIN,20,15.0,1.59,FTS,,Triangle Pullback,baseline,2025-06-30,5.4
33200.0,38180.0,31540.0,LOSS,4,-5.0,5.42,FTS,,Triangle Pullback,baseline,2026-02-04,6.85
32600.0,37490.0,30970.0,LOSS,12,-5.0,5.67,FTS,,Triangle Pullback,baseline,2026-02-05,5.16
43545.45,50077.27,41368.18,LOSS,5,-5.0,7.2,BSI,,Flag Pullback,baseline,2024-11-07,3.58
43863.64,50443.18,41670.45,LOSS,4,-5.0,7.88,BSI,,Flag Pullback,baseline,2024-11-08,5.37
39363.64,45268.18,37395.45,OPEN,40,2.66,3.58,BSI,,Flag Pullback,baseline,2024-11-15,4.07
40454.55,46522.73,38431.82,WIN,23,15.0,0.9,BSI,,Flag Pullback,baseline,2025-01-16,9.34
40454.55,46522.73,38431.82,WIN,22,15.0,0.67,BSI,,Flag Pullback,baseline,2025-01-17,9.01
45090.91,51854.55,42836.36,LOSS,2,-5.0,6.15,BSI,,Flag Pullback,baseline,2025-04-17,4.55
42318.18,48665.91,40202.27,LOSS,1,-5.0,6.98,BSI,,Flag Pullback,baseline,2025-04-21,3.9
39818.18,45790.91,37827.27,OPEN,40,2.47,0.3,BSI,,Flag Pullback,baseline,2025-04-22,4.69
40000.0,46000.0,38000.0,OPEN,40,0.62,0.75,BSI,,Flag Pullback,baseline,2025-04-23,3.44
40818.18,46940.91,38777.27,OPEN,40,0.2,2.74,BSI,,Flag Pullback,baseline,2025-04-24,3.15
40909.09,47045.45,38863.64,OPEN,40,-1.37,2.96,BSI,,Flag Pullback,baseline,2025-04-28,5.55
50100.0,57615.0,47595.0,LOSS,7,-5.0,5.39,BSI,,Flag Pullback,baseline,2025-09-09,5.26
50500.0,58075.0,47975.0,LOSS,6,-5.0,6.14,BSI,,Flag Pullback,baseline,2025-09-10,12.02
50400.0,57960.0,47880.0,LOSS,5,-5.0,5.95,BSI,,Flag Pullback,baseline,2025-09-11,9.53
49700.0,57155.0,47215.0,LOSS,5,-5.0,5.23,BSI,,Flag Pullback,baseline,2025-09-12,9.35
50100.0,57615.0,47595.0,LOSS,7,-5.0,5.39,BSI,,Flag Pullback,trend_filter,2025-09-09,5.26
50500.0,58075.0,47975.0,LOSS,6,-5.0,6.14,BSI,,Flag Pullback,trend_filter,2025-09-10,12.02
50400.0,57960.0,47880.0,LOSS,5,-5.0,5.95,BSI,,Flag Pullback,trend_filter,2025-09-11,9.53
49700.0,57155.0,47215.0,LOSS,5,-5.0,5.23,BSI,,Flag Pullback,trend_filter,2025-09-12,9.35
43545.45,50077.27,41368.18,LOSS,5,-5.0,7.2,BSI,,Flag Pullback,vol_filter,2024-11-07,3.58
43863.64,50443.18,41670.45,LOSS,4,-5.0,7.88,BSI,,Flag Pullback,vol_filter,2024-11-08,5.37
39363.64,45268.18,37395.45,OPEN,40,2.66,3.58,BSI,,Flag Pullback,vol_filter,2024-11-15,4.07
40454.55,46522.73,38431.82,WIN,23,15.0,0.9,BSI,,Flag Pullback,vol_filter,2025-01-16,9.34
40454.55,46522.73,38431.82,WIN,22,15.0,0.67,BSI,,Flag Pullback,vol_filter,2025-01-17,9.01
50545.45,58127.27,48018.18,LOSS,12,-5.0,5.04,BSI,,Triangle Pullback,baseline,2025-03-18,4.02
50636.36,58231.82,48104.55,LOSS,6,-5.0,5.21,BSI,,Triangle Pullback,baseline,2025-03-26,5.87
43400.0,49910.0,41230.0,WIN,14,15.0,0.92,BSI,,Triangle Pullback,baseline,2025-07-08,4.29
51900.0,59685.0,49305.0,LOSS,1,-5.0,6.17,BSI,,Triangle Pullback,baseline,2025-09-05,3.27
48700.0,56005.0,46265.0,LOSS,12,-5.0,5.34,BSI,,Triangle Pullback,baseline,2025-09-08,4.22
50545.45,58127.27,48018.18,LOSS,12,-5.0,5.04,BSI,,Triangle Pullback,trend_filter,2025-03-18,4.02
